交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,饭点课程_早,饭点课程_午,饭点课程_晚
10.0,学院食堂陕西名小吃,2022-11-23,18:50,3,0,-6,752.3,765.8,74,2,0,1669200600,0,1,0
10.0,学苑食堂副食三组,2022-11-23,11:59,3,0,-1,751.1,764.3,64,3,0,1669175940,0,1,0
10.0,学院食堂陕西名小吃,2022-11-22,18:46,2,0,-6,753.8,767.3,74,2,0,1669113960,1,0,0
12.0,美食林陕西刀削面(川无界),2022-11-22,11:58,2,0,0,755.6,768.9,55,2,0,1669089480,1,0,0
12.0,美食林老上客砂锅,2022-11-21,17:13,1,0,-5,754.6,768.1,58,3,0,1669021980,0,0,0
8.0,学苑食堂包子,2022-11-21,12:06,1,0,-2,754.8,768.1,43,4,0,1669003560,0,0,0
8.0,学苑食堂重庆小面,2022-11-20,17:37,7,1,-5,752.4,765.8,63,4,0,1668937020,0,0,0
19.0,学苑食堂香恋香拌砂锅,2022-11-19,18:15,6,1,5,745.4,758.2,93,8,1,1668852900,0,0,0
11.64,阳光副食二组,2022-11-19,11:29,6,1,5,748.3,761.2,57,7,0,1668828540,0,0,0
12.0,美食林老上客砂锅,2022-11-18,16:48,5,0,-1,757.8,771.1,80,3,0,1668761280,1,1,1
10.0,学苑食堂副食三组,2022-11-18,11:25,5,0,4,758.0,771.1,56,1,0,1668741900,1,1,1
11.0,学苑食堂包子,2022-11-17,17:00,4,0,2,748.2,761.2,81,4,0,1668675600,1,1,0
10.6,百味佳主食二组,2022-11-17,11:48,4,0,3,749.0,762.0,65,5,0,1668656880,1,1,0
12.0,美食林老上客砂锅,2022-11-16,18:06,3,0,-4,749.5,762.8,86,1,0,1668593160,0,1,0
15.0,阳光川蜀源烤鱼,2022-11-16,12:13,3,0,2,748.2,761.2,60,3,0,1668571980,0,1,0
10.0,学院食堂陕西名小吃,2022-11-15,16:59,2,0,-5,747.2,760.5,93,2,1,1668502740,1,0,0
18.0,学苑食堂香恋香拌砂锅,2022-11-15,12:14,2,0,-1,747.3,760.5,80,4,0,1668485640,1,0,0
12.28,美食林小猪憨尼麻辣烫,2022-11-14,17:23,1,0,-4,747.2,760.5,80,2,1,1668417780,0,0,0
13.0,民族餐厅金家店,2022-11-14,12:05,1,0,-3,747.3,760.5,69,4,0,1668398700,0,0,0
18.0,学苑食堂香恋香拌砂锅,2022-11-13,11:26,7,1,-2,756.2,769.6,59,3,0,1668309960,0,0,0
12.0,民族餐厅金家店,2022-11-12,12:03,6,1,0,752.6,765.8,75,6,0,1668225780,0,0,0
13.56,阳光副食二组,2022-11-11,17:40,5,0,8,750.7,763.5,82,5,1,1668159600,1,1,1
2.2,学苑食堂副食三组,2022-11-11,8:00,5,0,4,752.0,765.0,75,4,1,1668124800,1,1,1
12.0,美食林老上客砂锅,2022-11-10,18:16,4,0,1,757.2,770.4,44,2,0,1668075360,1,1,0
11.0,学苑食堂包子,2022-11-10,11:40,4,0,7,758.1,771.1,27,4,0,1668051600,1,1,0
13.8,阳光川蜀源烤鱼,2022-11-09,17:21,3,0,5,751.4,764.3,57,2,0,1667985660,0,1,0
10.75,学苑食堂副食三组,2022-11-09,12:01,3,0,10,749.3,762.0,47,4,0,1667966460,0,1,0
10.68,阳光副食二组,2022-11-08,17:26,2,0,6,749.1,762.0,49,3,0,1667899560,1,0,0
20.25,学苑食堂包子,2022-11-08,11:42,2,0,8,750.7,763.5,46,6,0,1667878920,1,0,0
2.6,学苑食堂包子,2022-11-08,7:51,2,0,-1,751.1,764.3,80,3,0,1667865060,1,0,0
13.0,阳光川蜀源烤鱼,2022-11-07,17:50,1,0,0,751.8,765.0,69,4,0,1667814600,0,0,0
16.0,学苑食堂副食三组,2022-11-07,11:39,1,0,7,751.5,764.3,46,5,0,1667792340,0,0,0
16.1,百味佳主食二组,2022-11-06,17:34,7,1,2,750.4,763.5,56,3,0,1667727240,0,0,0
8.0,学苑食堂包子,2022-11-06,11:46,7,1,8,752.2,765.0,40,3,0,1667706360,0,0,0
12.0,学苑食堂香恋香拌砂锅,2022-11-05,17:59,6,1,0,753.4,766.6,60,2,0,1667642340,0,0,0
13.0,美食林90后串炒饭,2022-11-05,11:33,6,1,4,751.3,764.3,48,4,0,1667619180,0,0,0
11.16,阳光副食二组,2022-11-04,17:43,5,0,-3,751.7,765.0,64,3,0,1667554980,1,1,1
9.0,学苑食堂副食三组,2022-11-04,11:59,5,0,1,752.7,765.8,38,6,0,1667534340,1,1,1
13.8,阳光川蜀源烤鱼,2022-11-03,18:07,4,0,-5,752.4,765.8,63,3,0,1667470020,1,1,0
15.0,民族餐厅金家店,2022-11-03,12:30,4,0,0,752.6,765.8,37,7,0,1667449800,1,1,0
8.0,学苑食堂包子,2022-11-02,17:47,3,0,-2,752.5,765.8,43,3,0,1667382420,0,1,0
12.0,阳光萌锅蒸饭,2022-11-02,12:04,3,0,2,751.9,765.0,30,7,0,1667361840,0,1,0
12.29,阳光副食二组,2022-11-01,12:05,2,0,5,751.4,764.3,42,9,0,1667275500,1,0,0
7.0,学苑食堂包子,2022-10-31,18:17,1,0,6,749.1,762.0,66,5,0,1667211420,0,0,0
