,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
78,2021****86,12.0,2023/03/26 12:30,学苑食堂香恋香拌砂锅,2023-03-26,12:30,1,1,3,0,1679805000.0,-1,-1,-1,-1
79,2021****86,5.0,2023/03/26 08:43,百味佳副食一组,2023-03-26,08:43,1,1,3,0,1679791380.0,-1,-1,-1,-1
80,2021****86,16.0,2023/03/25 17:49,民族餐厅铁板料理,2023-03-25,17:49,1,-3,3,0,1679737740.0,-1,-1,-1,-1
81,2021****86,12.0,2023/03/25 11:44,美食林那小味面馆,2023-03-25,11:44,1,-3,3,0,1679715840.0,-1,-1,-1,-1
82,2021****86,3.0,2023/03/25 09:01,百味佳副食一组,2023-03-25,09:01,1,-3,3,0,1679706060.0,-1,-1,-1,-1
83,2021****86,11.54,2023/03/24 17:33,美食林小猪憨尼麻辣烫,2023-03-24,17:33,0,-1,1,0,1679650380.0,0,0,0,0
84,2021****86,10.0,2023/03/24 11:52,民族餐厅山西饸饹面,2023-03-24,11:52,0,-1,1,0,1679629920.0,0,0,0,0
85,2021****86,0.7,2023/03/22 17:37,百味佳副食一组,2023-03-22,17:37,0,4,6,1,1679477820.0,0,0,0,0
86,2021****86,14.0,2023/03/21 17:35,阳光广式猪脚饭,2023-03-21,17:35,0,10,2,1,1679391300.0,0,0,0,0
87,2021****86,12.0,2023/03/21 11:54,美食林川蜀源烤鱼,2023-03-21,11:54,0,10,2,1,1679370840.0,0,0,0,0
88,2021****86,5.1,2023/03/21 07:41,百味佳副食一组,2023-03-21,07:41,0,10,2,1,1679355660.0,0,0,0,0
89,2021****86,12.0,2023/03/20 17:32,美食林川蜀源烤鱼,2023-03-20,17:32,0,10,4,0,1679304720.0,0,0,0,0
90,2021****86,16.0,2023/03/20 11:27,阳光广式猪脚饭,2023-03-20,11:27,0,10,4,0,1679282820.0,0,0,0,0
91,2021****86,3.5,2023/03/20 08:14,百味佳副食一组,2023-03-20,08:14,0,10,4,0,1679271240.0,0,0,0,0
92,2021****86,12.0,2023/03/19 18:05,美食林90后串炒饭,2023-03-19,18:05,1,5,3,0,1679220300.0,-1,-1,-1,-1
93,2021****86,13.0,2023/03/19 11:45,阳光广式猪脚饭,2023-03-19,11:45,1,5,3,0,1679197500.0,-1,-1,-1,-1
94,2021****86,5.0,2023/03/19 08:24,百味佳副食一组,2023-03-19,08:24,1,5,3,0,1679185440.0,-1,-1,-1,-1
95,2021****86,13.0,2023/03/18 17:46,美食林老上客砂锅,2023-03-18,17:46,1,2,4,0,1679132760.0,-1,-1,-1,-1
96,2021****86,17.2,2023/03/18 11:42,百味佳副食一组,2023-03-18,11:42,1,2,4,0,1679110920.0,-1,-1,-1,-1
97,2021****86,15.1,2023/03/17 17:33,美食林小猪憨尼麻辣烫,2023-03-17,17:33,0,0,4,0,1679045580.0,0,0,0,0
98,2021****86,29.9,2023/03/17 11:52,百味佳副食一组,2023-03-17,11:52,0,0,4,0,1679025120.0,0,0,0,0
99,2021****86,10.8,2023/03/16 11:28,阳光小是小简餐,2023-03-16,11:28,0,-4,3,0,1678937280.0,0,0,0,0
100,2021****86,2.75,2023/03/16 07:41,学苑食堂副食三组,2023-03-16,07:41,0,-4,3,0,1678923660.0,0,0,0,0
101,2021****86,13.0,2023/03/15 17:39,美食林90后串炒饭,2023-03-15,17:39,0,-4,4,0,1678873140.0,0,0,0,0
102,2021****86,13.0,2023/03/15 11:50,美食林川蜀源烤鱼,2023-03-15,11:50,0,-4,4,0,1678852200.0,0,0,0,0
103,2021****86,5.1,2023/03/15 08:35,百味佳副食一组,2023-03-15,08:35,0,-4,4,0,1678840500.0,0,0,0,0
104,2021****86,9.0,2023/03/14 17:33,美食林肠粉,2023-03-14,17:33,0,-2,3,1,1678786380.0,0,0,0,0
105,2021****86,12.0,2023/03/14 11:44,美食林川蜀源烤鱼,2023-03-14,11:44,0,-2,3,1,1678765440.0,0,0,0,0
106,2021****86,3.4,2023/03/14 07:37,百味佳副食一组,2023-03-14,07:37,0,-2,3,1,1678750620.0,0,0,0,0
107,2021****86,12.0,2023/03/13 17:19,学苑食堂香恋香拌砂锅,2023-03-13,17:19,0,-5,2,0,1678699140.0,0,0,0,0
108,2021****86,15.0,2023/03/13 16:26,美食林东农豆坊,2023-03-13,16:26,0,-5,2,0,1678695960.0,0,0,0,0
109,2021****86,13.0,2023/03/13 11:38,阳光广式猪脚饭,2023-03-13,11:38,0,-5,2,0,1678678680.0,0,0,0,0
110,2021****86,3.6,2023/03/13 08:45,百味佳副食一组,2023-03-13,08:45,0,-5,2,0,1678668300.0,0,0,0,0
111,2021****86,15.0,2023/03/12 17:46,美食林90后串炒饭,2023-03-12,17:46,1,-5,2,0,1678614360.0,-1,-1,-1,-1
112,2021****86,16.0,2023/03/12 11:25,阳光广式猪脚饭,2023-03-12,11:25,1,-5,2,0,1678591500.0,-1,-1,-1,-1
113,2021****86,5.0,2023/03/12 08:52,百味佳副食一组,2023-03-12,08:52,1,-5,2,0,1678582320.0,-1,-1,-1,-1
114,2021****86,13.0,2023/03/11 17:17,阳光广式猪脚饭,2023-03-11,17:17,1,-1,3,0,1678526220.0,-1,-1,-1,-1
115,2021****86,4.2,2023/03/11 11:51,百味佳副食一组,2023-03-11,11:51,1,-1,3,0,1678506660.0,-1,-1,-1,-1
116,2021****86,5.64,2023/03/11 11:49,百味佳副食二组,2023-03-11,11:49,1,-1,3,0,1678506540.0,-1,-1,-1,-1
117,2021****86,5.1,2023/03/11 08:41,百味佳副食一组,2023-03-11,08:41,1,-1,3,0,1678495260.0,-1,-1,-1,-1
118,2021****86,13.0,2023/03/10 17:07,阳光广式猪脚饭,2023-03-10,17:07,0,11,7,0,1678439220.0,0,0,0,0
119,2021****86,11.0,2023/03/10 11:54,学苑食堂包子,2023-03-10,11:54,0,11,7,0,1678420440.0,0,0,0,0
120,2021****86,3.5,2023/03/10 07:43,百味佳副食一组,2023-03-10,07:43,0,11,7,0,1678405380.0,0,0,0,0
121,2021****86,18.0,2023/03/09 17:14,学苑食堂副食三组,2023-03-09,17:14,0,2,1,0,1678353240.0,0,0,0,0
122,2021****86,12.0,2023/03/09 11:33,美食林90后串炒饭,2023-03-09,11:33,0,2,1,0,1678332780.0,0,0,0,0
123,2021****86,3.2,2023/03/09 07:35,百味佳副食一组,2023-03-09,07:35,0,2,1,0,1678318500.0,0,0,0,0
124,2021****86,14.0,2023/03/08 17:34,学院食堂陕西名小吃,2023-03-08,17:34,0,-1,3,0,1678268040.0,0,0,0,0
125,2021****86,17.2,2023/03/08 11:44,百味佳副食一组,2023-03-08,11:44,0,-1,3,0,1678247040.0,0,0,0,0
126,2021****86,12.0,2023/03/07 17:36,民族餐厅金家店,2023-03-07,17:36,0,1,6,0,1678181760.0,0,0,0,0
127,2021****86,12.0,2023/03/07 11:39,美食林川蜀源烤鱼,2023-03-07,11:39,0,1,6,0,1678160340.0,0,0,0,0
128,2021****86,4.6,2023/03/07 07:52,百味佳副食一组,2023-03-07,07:52,0,1,6,0,1678146720.0,0,0,0,0
129,2021****86,12.0,2023/03/06 18:14,学苑食堂铁锅焖面,2023-03-06,18:14,0,3,2,0,1678097640.0,0,0,0,0
130,2021****86,12.0,2023/03/06 11:33,美食林川蜀源烤鱼,2023-03-06,11:33,0,3,2,0,1678073580.0,0,0,0,0
131,2021****86,2.85,2023/03/06 09:04,百味佳副食一组,2023-03-06,09:04,0,3,2,0,1678064640.0,0,0,0,0
132,2021****86,12.0,2023/03/05 17:33,学苑食堂香恋香拌砂锅,2023-03-05,17:33,1,8,6,0,1678008780.0,-1,-1,-1,-1
133,2021****86,12.0,2023/03/05 11:52,美食林川蜀源烤鱼,2023-03-05,11:52,1,8,6,0,1677988320.0,-1,-1,-1,-1
134,2021****86,3.5,2023/03/05 09:02,百味佳副食一组,2023-03-05,09:02,1,8,6,0,1677978120.0,-1,-1,-1,-1
135,2021****86,9.0,2023/03/04 17:50,美食林老上客砂锅,2023-03-04,17:50,1,2,3,0,1677923400.0,-1,-1,-1,-1
136,2021****86,16.0,2023/03/04 11:20,阳光广式猪脚饭,2023-03-04,11:20,1,2,3,0,1677900000.0,-1,-1,-1,-1
137,2021****86,4.0,2023/03/04 08:15,百味佳副食一组,2023-03-04,08:15,1,2,3,0,1677888900.0,-1,-1,-1,-1
138,2021****86,11.0,2023/03/03 17:14,美食林90后串炒饭,2023-03-03,17:14,0,-2,2,0,1677834840.0,0,0,0,0
139,2021****86,10.0,2023/03/03 11:50,民族餐厅山西饸饹面,2023-03-03,11:50,0,-2,2,0,1677815400.0,0,0,0,0
140,2021****86,3.6,2023/03/03 07:35,百味佳副食一组,2023-03-03,07:35,0,-2,2,0,1677800100.0,0,0,0,0
141,2021****86,12.0,2023/03/02 17:53,美食林90后串炒饭,2023-03-02,17:53,0,-1,4,0,1677750780.0,0,0,0,0
142,2021****86,18.0,2023/03/02 11:38,学苑食堂副食三组,2023-03-02,11:38,0,-1,4,0,1677728280.0,0,0,0,0
143,2021****86,3.6,2023/03/02 07:31,百味佳副食一组,2023-03-02,07:31,0,-1,4,0,1677713460.0,0,0,0,0
144,2021****86,10.0,2023/03/01 17:29,美食林阿咪酱骨扒肉,2023-03-01,17:29,0,-7,5,0,1677662940.0,0,0,0,0
145,2021****86,15.799999999999999,2023/03/01 11:51,百味佳副食一组,2023-03-01,11:51,0,-7,5,0,1677642660.0,0,0,0,0
146,2021****86,15.0,2023/02/28 17:29,美食林真牛铁板,2023-02-28,17:29,0,-2,2,0,1677576540.0,0,0,0,0
147,2021****86,23.5,2023/02/28 11:53,百味佳副食一组,2023-02-28,11:53,0,-2,2,0,1677556380.0,0,0,0,0
148,2021****86,13.02,2023/02/27 17:33,美食林小猪憨尼麻辣烫,2023-02-27,17:33,0,6,6,1,1677490380.0,0,0,0,0
149,2021****86,12.2,2023/02/27 11:59,百味佳副食一组,2023-02-27,11:59,0,6,6,1,1677470340.0,0,0,0,0
150,2021****86,3.05,2023/02/27 08:52,百味佳主食二组,2023-02-27,08:52,0,6,6,1,1677459120.0,0,0,0,0
151,2021****86,10.0,2023/02/26 17:28,民族餐厅山西饸饹面,2023-02-26,17:28,1,1,4,0,1677403680.0,-1,-1,-1,-1
152,2021****86,17.299999999999997,2023/02/26 11:50,百味佳副食一组,2023-02-26,11:50,1,1,4,0,1677383400.0,-1,-1,-1,-1
153,2021****86,14.06,2023/02/25 17:43,美食林小猪憨尼麻辣烫,2023-02-25,17:43,1,-7,2,0,1677318180.0,-1,-1,-1,-1
154,2021****86,12.0,2023/02/25 11:41,友来朝鲜风味,2023-02-25,11:41,1,-7,2,0,1677296460.0,-1,-1,-1,-1
155,2021****86,4.1,2023/02/25 08:05,百味佳副食一组,2023-02-25,08:05,1,-7,2,0,1677283500.0,-1,-1,-1,-1
156,2021****86,13.0,2023/02/24 17:31,民族餐厅铁板料理,2023-02-24,17:31,0,-9,3,0,1677231060.0,1,0,0,1
157,2021****86,12.4,2023/02/24 11:52,紫丁香餐吧机器人收银组,2023-02-24,11:52,0,-9,3,0,1677210720.0,1,0,0,1
158,2021****86,4.1,2023/02/24 07:42,百味佳副食一组,2023-02-24,07:42,0,-9,3,0,1677195720.0,1,0,0,1
159,2021****86,12.0,2023/02/23 18:23,学苑食堂铁锅焖面,2023-02-23,18:23,0,-8,2,0,1677147780.0,0,0,0,1
160,2021****86,16.0,2023/02/23 11:35,阳光广式猪脚饭,2023-02-23,11:35,0,-8,2,0,1677123300.0,0,0,0,1
161,2021****86,4.1,2023/02/23 07:34,百味佳副食一组,2023-02-23,07:34,0,-8,2,0,1677108840.0,0,0,0,1
162,2021****86,18.0,2023/02/22 17:25,美食林90后串炒饭,2023-02-22,17:25,0,-4,3,0,1677057900.0,1,0,0,0
163,2021****86,15.299999999999999,2023/02/22 11:49,百味佳副食一组,2023-02-22,11:49,0,-4,3,0,1677037740.0,1,0,0,0
164,2021****86,11.0,2023/02/21 17:31,美食林老上客砂锅,2023-02-21,17:31,0,-12,2,0,1676971860.0,1,0,0,1
165,2021****86,16.5,2023/02/21 11:50,百味佳副食一组,2023-02-21,11:50,0,-12,2,0,1676951400.0,1,0,0,1
166,2021****86,11.5,2023/02/20 17:31,美食林真牛铁板,2023-02-20,17:31,0,-12,3,0,1676885460.0,0,0,0,0
167,2021****86,23.349999999999998,2023/02/20 11:29,百味佳副食一组,2023-02-20,11:29,0,-12,3,0,1676863740.0,0,0,0,0
168,2021****86,13.0,2023/02/19 11:49,学苑食堂香恋香拌砂锅,2023-02-19,11:49,1,-11,2,0,1676778540.0,-1,-1,-1,-1
169,2021****86,3.25,2023/02/19 09:06,百味佳副食一组,2023-02-19,09:06,1,-11,2,0,1676768760.0,-1,-1,-1,-1
170,2021****86,12.28,2023/02/18 17:23,美食林小猪憨尼麻辣烫,2023-02-18,17:23,1,-12,1,0,1676712180.0,-1,-1,-1,-1
171,2021****86,14.0,2023/02/18 12:07,阳光广式猪脚饭,2023-02-18,12:07,1,-12,1,0,1676693220.0,-1,-1,-1,-1
172,2021****86,2.95,2023/02/18 08:55,百味佳副食一组,2023-02-18,08:55,1,-12,1,0,1676681700.0,-1,-1,-1,-1
173,2021****86,15.0,2023/02/17 17:48,美食林真牛铁板,2023-02-17,17:48,0,-13,1,0,1676627280.0,0,0,0,0
174,2021****86,32.0,2023/02/17 11:13,阳光广式猪脚饭,2023-02-17,11:13,0,-13,1,0,1676603580.0,0,0,0,0
