,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象
87,2021****86,12.0,2023/03/21 11:54,美食林川蜀源烤鱼,2023-03-21,11:54,0,10,2,烟
88,2021****86,5.1,2023/03/21 07:41,百味佳副食一组,2023-03-21,07:41,0,10,2,烟
89,2021****86,12.0,2023/03/20 17:32,美食林川蜀源烤鱼,2023-03-20,17:32,0,10,4,
90,2021****86,16.0,2023/03/20 11:27,阳光广式猪脚饭,2023-03-20,11:27,0,10,4,
91,2021****86,3.5,2023/03/20 08:14,百味佳副食一组,2023-03-20,08:14,0,10,4,
92,2021****86,12.0,2023/03/19 18:05,美食林90后串炒饭,2023-03-19,18:05,1,5,3,
93,2021****86,13.0,2023/03/19 11:45,阳光广式猪脚饭,2023-03-19,11:45,1,5,3,
94,2021****86,5.0,2023/03/19 08:24,百味佳副食一组,2023-03-19,08:24,1,5,3,
95,2021****86,13.0,2023/03/18 17:46,美食林老上客砂锅,2023-03-18,17:46,1,2,4,
96,2021****86,17.2,2023/03/18 11:42,百味佳副食一组,2023-03-18,11:42,1,2,4,
97,2021****86,15.1,2023/03/17 17:33,美食林小猪憨尼麻辣烫,2023-03-17,17:33,0,0,4,
98,2021****86,29.9,2023/03/17 11:52,百味佳副食一组,2023-03-17,11:52,0,0,4,
99,2021****86,10.8,2023/03/16 11:28,阳光小是小简餐,2023-03-16,11:28,0,-4,3,
100,2021****86,2.75,2023/03/16 07:41,学苑食堂副食三组,2023-03-16,07:41,0,-4,3,
101,2021****86,13.0,2023/03/15 17:39,美食林90后串炒饭,2023-03-15,17:39,0,-4,4,
102,2021****86,13.0,2023/03/15 11:50,美食林川蜀源烤鱼,2023-03-15,11:50,0,-4,4,
103,2021****86,5.1,2023/03/15 08:35,百味佳副食一组,2023-03-15,08:35,0,-4,4,
104,2021****86,9.0,2023/03/14 17:33,美食林肠粉,2023-03-14,17:33,0,-2,3,轻度（小）（弱） 雪
105,2021****86,12.0,2023/03/14 11:44,美食林川蜀源烤鱼,2023-03-14,11:44,0,-2,3,轻度（小）（弱） 雪
106,2021****86,3.4,2023/03/14 07:37,百味佳副食一组,2023-03-14,07:37,0,-2,3,轻度（小）（弱） 雪
107,2021****86,12.0,2023/03/13 17:19,学苑食堂香恋香拌砂锅,2023-03-13,17:19,0,-5,2,
108,2021****86,15.0,2023/03/13 16:26,美食林东农豆坊,2023-03-13,16:26,0,-5,2,
109,2021****86,13.0,2023/03/13 11:38,阳光广式猪脚饭,2023-03-13,11:38,0,-5,2,
110,2021****86,3.6,2023/03/13 08:45,百味佳副食一组,2023-03-13,08:45,0,-5,2,
111,2021****86,15.0,2023/03/12 17:46,美食林90后串炒饭,2023-03-12,17:46,1,-5,2,
112,2021****86,16.0,2023/03/12 11:25,阳光广式猪脚饭,2023-03-12,11:25,1,-5,2,
113,2021****86,5.0,2023/03/12 08:52,百味佳副食一组,2023-03-12,08:52,1,-5,2,
114,2021****86,13.0,2023/03/11 17:17,阳光广式猪脚饭,2023-03-11,17:17,1,-1,3,
115,2021****86,4.2,2023/03/11 11:51,百味佳副食一组,2023-03-11,11:51,1,-1,3,
116,2021****86,5.64,2023/03/11 11:49,百味佳副食二组,2023-03-11,11:49,1,-1,3,
117,2021****86,5.1,2023/03/11 08:41,百味佳副食一组,2023-03-11,08:41,1,-1,3,
118,2021****86,13.0,2023/03/10 17:07,阳光广式猪脚饭,2023-03-10,17:07,0,11,7,
119,2021****86,11.0,2023/03/10 11:54,学苑食堂包子,2023-03-10,11:54,0,11,7,
